Feature,Importance
OverallQual,0.49631936248544023
GrLivArea,0.1581491918976284
TotalBsmtSF,0.06006047066561104
BsmtFinSF1,0.05031415410690399
GarageArea,0.046423177655262673
KitchenQual,0.034066301739901106
LotArea,0.026930484379603836
HouseAge,0.02586537324390551
1stFlrSF,0.020876369533814557
2ndFlrSF,0.014970600448646544
RemodAge,0.012787702126478048
LotFrontage,0.011757851795966072
OverallCond,0.008561378658197234
MasVnrArea,0.0066990055315904375
OpenPorchSF,0.0051662284993516955
BsmtUnfSF,0.004956208412871819
BsmtExposure,0.0037783920272075134
WoodDeckSF,0.0033950471125441346
GarageAge,0.003284760998830185
GarageFinish,0.0031904875251457503
BsmtFinType1,0.0018183682211783926
BedroomAbvGr,0.0006290829339206061
EnclosedPorch,0.0
